BPSno,OccurredDate,OfficerAge,OfficerYearsEmployed,OfficerAssignment,CitizenAge,CitizenRace,CitizenSex,OfficerRace,OfficerSex,ReportNumber,ReceivedDate,Month,Year,OfficerDivision,CitizenInjury,ForceEffective,Active Resistance,Physical Aggression,Non Compliance,Deadly Weapon,Assault,Fleeing,Passive Resistance,Not Noted,OfficerInjury,ForceType
UOF19-070,2018-04-17,40-49,11-15 yrs,Drug Enforcement,20-29,Black,Male,Black,Male,18-16973 (SLMPD),2019-03-08,3,2019,Criminal Investigation,Serious Injury,Yes,0,0,0,1,1,0,0,0,No injuries noted or visible,Firearm
UOF19-086,2019-03-13,30-39,11-15 yrs,North County Precinct,20-29,Black,Male,White,Male,19-12158,2019-03-13,3,2019,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF19-112,2019-04-10,30-39,11-15 yrs,Child Abuse,20-29,Black,Male,White,Female,19-16226,2019-04-10,4,2019,Criminal Investigation,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-194,2019-05-30,40-49,11-15 yrs,Affton Southwest Precinct,20-29,White,Male,White,Male,19-25308,2019-05-30,5,2019,Patrol,No injuries noted or visible,Yes,1,0,1,1,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-180,2019-06-28,30-39,11-15 yrs,South County Precinct,20-29,White,Male,White,Male,19-30367,2019-06-28,6,2019,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF19-207,2019-07-24,30-39,11-15 yrs,South County Precinct,20-29,Black,Male,White,Male,19-34906,2019-07-24,7,2019,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0033,2019-07-26,40-49,11-15 yrs,City Of Jennings Precinct,20-29,Black,Male,White,Male,19-35152,2019-07-26,7,2019,Patrol,Minor Injury,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-240,2019-10-06,30-39,11-15 yrs,Bureau Of Transit Police,20-29,Black,Female,White,Female,19-47373,2019-10-06,10,2019,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,Minor,Physical Restraint
UOF19-240,2019-10-06,40-49,11-15 yrs,Bureau Of Transit Police,20-29,Black,Female,White,Male,19-47373,2019-10-06,10,2019,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0010,2019-11-05,30-39,11-15 yrs,Central County Precinct,20-29,Black,Male,White,Male,19-52374,2019-11-06,11,2019,Patrol,No injuries noted or visible,Yes,0,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0010,2019-11-05,40-49,11-15 yrs,Auto Crime Unit,20-29,Black,Male,White,Female,19-52374,2019-11-06,11,2019,Criminal Investigation,No injuries noted or visible,Yes,0,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0059,2019-11-08,40-49,11-15 yrs,South County Precinct,20-29,White,Male,White,Male,19-52826,2019-11-08,11,2019,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0018,2019-11-25,30-39,11-15 yrs,South County Precinct,20-29,White,Male,White,Male,19-55855,2019-11-25,11,2019,Patrol,Minor Injury,Yes,1,0,0,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0018,2019-11-25,40-49,11-15 yrs,South County Precinct,20-29,White,Male,White,Male,19-55855,2019-11-25,11,2019,Patrol,Minor Injury,Yes,1,0,0,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0045,2020-01-05,30-39,11-15 yrs,Central County Precinct,20-29,Black,Female,White,Male,20-818,2020-01-05,1,2020,Patrol,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0100,2020-01-29,30-39,11-15 yrs,Special Response Unit,20-29,White,Male,White,Male,20-4810,2020-01-29,1,2020,Special Operations,Minor Injury,Yes,1,0,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0086,2020-01-31,40-49,11-15 yrs,North County Precinct,20-29,Black,Male,Black,Male,20-5217,2020-01-31,1,2020,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0127,2020-02-14,30-39,11-15 yrs,West County Precinct,20-29,Black,Female,White,Male,20-7652,2020-02-14,2,2020,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0127,2020-02-14,50-59,11-15 yrs,West County Precinct,20-29,Black,Female,White,Male,20-7652,2020-02-14,2,2020,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0090,2020-02-18,30-39,11-15 yrs,Drug Enforcement,20-29,Black,Male,White,Male,20-8309,2020-02-18,2,2020,Criminal Investigation,Minor Injury,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0090,2020-02-18,30-39,11-15 yrs,Drug Enforcement,20-29,Black,Male,White,Male,20-8309,2020-02-18,2,2020,Criminal Investigation,Minor Injury,Yes,0,1,0,0,1,0,0,0,Disabling,Physical Restraint
UOF20-0129,2020-03-09,30-39,11-15 yrs,North County Precinct,20-29,Black,Male,White,Male,20-11615,2020-03-09,3,2020,Patrol,No injuries noted or visible,No,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0130,2020-03-10,40-49,11-15 yrs,Bureau Of Transit Police,20-29,Black,Female,White,Male,20-11784,2020-03-10,3,2020,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0163,2020-04-26,30-39,11-15 yrs,City Of Jennings Precinct,20-29,Black,Male,White,Male,20-16597,2020-05-16,5,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0263,2020-05-20,40-49,11-15 yrs,Drug Enforcement,20-29,Black,Male,White,Male,20-18737,2020-05-20,5,2020,Criminal Investigation,Minor Injury,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0160,2020-05-31,30-39,11-15 yrs,Drug Enforcement,20-29,White,Male,White,Male,20-20434,2020-05-31,5,2020,Criminal Investigation,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0171,2020-06-25,40-49,11-15 yrs,Affton Southwest Precinct,20-29,Black,Male,White,Male,20-23746,2020-06-25,6,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0256,2020-10-02,30-39,11-15 yrs,South County Precinct,20-29,Black,Male,White,Male,20-37258,2020-10-02,10,2020,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0266,2020-10-06,30-39,11-15 yrs,Central County Precinct,20-29,Black,Male,White,Male,20-37832,2020-10-06,10,2020,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0266,2020-10-06,30-39,11-15 yrs,Central County Precinct,20-29,Black,Male,White,Male,20-37832,2020-10-06,10,2020,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0266,2020-10-06,30-39,11-15 yrs,Bureau Of Transit Police,20-29,Black,Male,White,Male,20-37832,2020-10-06,10,2020,Special Operations,No injuries noted or visible,No,1,0,0,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0266,2020-10-06,30-39,11-15 yrs,Central County Precinct,20-29,Black,Male,Black,Male,20-37832,2020-10-06,10,2020,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,1,0,Minor,Physical Restraint
UOF20-0259,2020-10-13,30-39,11-15 yrs,Bureau Of Transit Police,20-29,Black,Female,White,Female,20-38857,2020-10-13,10,2020,Special Operations,Minor Injury,Yes,1,1,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0259,2020-10-13,30-39,11-15 yrs,Bureau Of Transit Police,20-29,Black,Female,White,Female,20-38857,2020-10-13,10,2020,Special Operations,Minor Injury,Yes,1,1,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0274,2020-10-16,30-39,11-15 yrs,South County Precinct,20-29,White,Male,White,Male,20-39220,2020-10-16,10,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0274,2020-10-16,30-39,11-15 yrs,South County Precinct,20-29,White,Male,White,Male,20-39220,2020-10-16,10,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF21-0044,2021-02-06,30-39,11-15 yrs,HomicideRobberySexual,20-29,Black,Male,White,Male,21-4912,2021-02-06,2,2021,Criminal Investigation,No injuries noted or visible,No,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF21-0044,2021-02-06,30-39,11-15 yrs,HomicideRobberySexual,20-29,Black,Male,White,Male,21-4912,2021-02-06,2,2021,Criminal Investigation,No injuries noted or visible,No,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical (Striking)
UOF21-0045,2021-02-06,30-39,11-15 yrs,HomicideRobberySexual,20-29,Black,Male,White,Male,21-4912,2021-02-06,2,2021,Criminal Investigation,No injuries noted or visible,No,1,1,1,0,1,0,1,0,Minor,Physical Restraint
UOF21-0045,2021-02-06,30-39,11-15 yrs,HomicideRobberySexual,20-29,Black,Male,White,Male,21-4912,2021-02-06,2,2021,Criminal Investigation,No injuries noted or visible,No,1,1,1,0,1,0,1,0,Minor,Pepper Spray
UOF21-0045,2021-02-06,30-39,11-15 yrs,HomicideRobberySexual,20-29,Black,Male,White,Male,21-4912,2021-02-06,2,2021,Criminal Investigation,No injuries noted or visible,No,1,1,1,0,1,0,1,0,Minor,Physical (Striking)
UOF21-0057,2021-02-21,30-39,11-15 yrs,Central County Precinct,20-29,White,Male,White,Male,21-6728,2021-02-21,2,2021,Patrol,No injuries noted or visible,Yes,0,1,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF21-0057,2021-02-21,30-39,11-15 yrs,Central County Precinct,20-29,White,Male,White,Male,21-6728,2021-02-21,2,2021,Patrol,No injuries noted or visible,No,0,1,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF21-0077,2021-03-31,30-39,11-15 yrs,Drug Enforcement,20-29,Black,Male,White,Male,21-11924,2021-03-31,3,2021,Criminal Investigation,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-040,2018-01-01,30-39,0-5 yrs,South County Precinct,20-29,Black,Male,White,Female,18-109,2018-01-01,1,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-040,2018-01-01,30-39,0-5 yrs,South County Precinct,20-29,Black,Male,White,Female,18-109,2018-01-01,1,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-042,2018-01-06,30-39,0-5 yrs,South County Precinct,20-29,Black,Female,White,Male,18-1093,2018-01-06,1,2018,Patrol,No injuries noted or visible,No,1,1,0,0,1,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-042,2018-01-06,30-39,0-5 yrs,South County Precinct,20-29,Black,Female,White,Female,18-1093,2018-01-06,1,2018,Patrol,No injuries noted or visible,No,1,1,0,0,1,1,0,0,Minor,Physical (Striking)
UOF18-042,2018-01-06,30-39,0-5 yrs,South County Precinct,20-29,Black,Female,White,Female,18-1093,2018-01-06,1,2018,Patrol,No injuries noted or visible,No,1,1,0,0,1,1,0,0,Minor,Physical Restraint
UOF18-042,2018-01-06,30-39,0-5 yrs,South County Precinct,20-29,Black,Female,White,Female,18-1093,2018-01-06,1,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,1,1,0,0,Minor,Physical (Striking)
UOF18-042,2018-01-06,30-39,0-5 yrs,South County Precinct,20-29,Black,Female,White,Female,18-1093,2018-01-06,1,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,1,1,0,0,Minor,Physical Restraint
UOF18-046,2018-01-08,20-29,0-5 yrs,City Of Jennings Precinct,20-29,Black,Female,White,Male,18-001433,2018-01-08,1,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-051,2018-01-15,40-49,0-5 yrs,South County Precinct,20-29,White,Male,White,Male,18-2564,2018-01-15,1,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-074,2018-01-19,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Male,White,Male,18-3311,2018-01-19,1,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,1,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-091,2018-01-20,30-39,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-3592,2018-01-20,1,2018,Patrol,No injuries noted or visible,No,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-072,2018-01-11,20-29,0-5 yrs,South County Precinct,20-29,Black,Female,White,Male,18-1922,2018-01-21,1,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-075,2018-01-24,20-29,0-5 yrs,Canine Unit,20-29,White,Male,White,Male,18-4413,2018-01-25,1,2018,Special Operations,K-9 bite wound,Yes,1,0,1,0,1,1,0,0,No injuries noted or visible,Canine
UOF18-079,2018-01-28,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-5227,2018-01-28,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-079,2018-01-28,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-5227,2018-01-28,1,2018,Patrol,Minor Injury,Limited,1,1,0,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-079,2018-01-28,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-5227,2018-01-28,1,2018,Patrol,Minor Injury,No,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-079,2018-01-28,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-5227,2018-01-28,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-059,2018-01-21,20-29,0-5 yrs,City Of Jennings Precinct,20-29,Black,Male,Black,Male,18-3738,2018-01-30,1,2018,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,Minor,Taser
UOF18-060,2018-01-30,30-39,0-5 yrs,City Of Jennings Precinct,20-29,White,Female,White,Male,18-5482,2018-01-30,1,2018,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-060,2018-01-30,20-29,0-5 yrs,City Of Jennings Precinct,20-29,White,Female,White,Male,18-5482,2018-01-30,1,2018,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF18-080,2018-02-03,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-6342,2018-02-03,2,2018,Patrol,No injuries noted or visible,No,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-080,2018-02-03,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-6342,2018-02-03,2,2018,Patrol,No injuries noted or visible,No,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-080,2018-02-03,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-6342,2018-02-03,2,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-080,2018-02-03,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-6342,2018-02-03,2,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-080,2018-02-03,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-6342,2018-02-03,2,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-081,2018-02-07,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,17-6961,2018-02-07,2,2018,Patrol,No injuries noted or visible,No,1,1,1,1,1,1,0,0,No injuries noted or visible,Taser
UOF18-081,2018-02-07,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,17-6961,2018-02-07,2,2018,Patrol,No injuries noted or visible,No,1,1,1,1,1,1,0,0,No injuries noted or visible,Taser
UOF18-061,2018-02-08,30-39,0-5 yrs,City Of Jennings Precinct,20-29,White,Male,White,Male,18-7267,2018-02-08,2,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-085,2018-02-15,20-29,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-8358,2018-02-15,2,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,0,1,0,No injuries noted or visible,Taser
UOF18-094,2018-02-15,30-39,0-5 yrs,North County Precinct,20-29,Black,Female,White,Male,18-8424,2018-02-15,2,2018,Patrol,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-094,2018-02-15,30-39,0-5 yrs,North County Precinct,20-29,Black,Female,White,Male,18-8424,2018-02-15,2,2018,Patrol,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-094,2018-02-15,30-39,0-5 yrs,North County Precinct,20-29,Black,Female,White,Male,18-8424,2018-02-15,2,2018,Patrol,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-096,2018-02-15,30-39,0-5 yrs,Affton Southwest Precinct,20-29,Black,Female,White,Female,18-8342,2018-02-15,2,2018,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-096,2018-02-15,30-39,0-5 yrs,North County Precinct,20-29,Black,Female,White,Male,18-8342,2018-02-15,2,2018,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Other
UOF18-096,2018-02-15,20-29,0-5 yrs,North County Precinct,20-29,Black,Female,White,Female,18-8342,2018-02-15,2,2018,Patrol,No injuries noted or visible,No,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-096,2018-02-15,20-29,0-5 yrs,North County Precinct,20-29,Black,Female,White,Female,18-8342,2018-02-15,2,2018,Patrol,No injuries noted or visible,No,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-096,2018-02-15,20-29,0-5 yrs,North County Precinct,20-29,Black,Female,White,Female,18-8342,2018-02-15,2,2018,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-098,2018-02-24,20-29,0-5 yrs,Affton Southwest Precinct,20-29,Black,Male,White,Female,18-9924,2018-02-24,2,2018,Patrol,Minor Injury,No,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-100,2018-02-28,20-29,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-10754,2018-02-28,2,2018,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Other
UOF18-100,2018-02-28,20-29,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-10754,2018-02-28,2,2018,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Other
UOF18-104,2018-03-02,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Male,Black,Female,18-11142,2018-03-05,3,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-104,2018-03-02,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Male,White,Male,18-11142,2018-03-05,3,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-104,2018-03-02,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Male,White,Male,18-11142,2018-03-05,3,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-104,2018-03-02,20-29,0-5 yrs,South County Precinct,20-29,White,Male,White,Male,18-11142,2018-03-05,3,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-104,2018-03-02,20-29,0-5 yrs,South County Precinct,20-29,White,Male,White,Male,18-11142,2018-03-05,3,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-101,2018-03-08,20-29,0-5 yrs,Bureau Of Transit Police,20-29,Black,Male,White,Male,18-12131,2018-03-08,3,2018,Special Operations,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-101,2018-03-08,20-29,0-5 yrs,Bureau Of Transit Police,20-29,Black,Male,White,Male,18-12131,2018-03-08,3,2018,Special Operations,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-115,2018-04-07,30-39,0-5 yrs,South County Precinct,20-29,White,Male,White,Female,18-17437,2018-04-07,4,2018,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-161,2018-04-20,30-39,0-5 yrs,North County Precinct,20-29,Black,Male,Black,Male,18-19986,2018-04-20,4,2018,Patrol,No injuries noted or visible,No,1,0,0,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-120,2018-04-24,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-20559,2018-04-24,4,2018,Patrol,No injuries noted or visible,No,0,1,0,0,0,0,0,0,Minor,Physical Restraint
UOF18-127,2018-04-24,30-39,0-5 yrs,Bureau Of Transit Police,20-29,Black,Male,White,Male,18-20666,2018-04-24,4,2018,Special Operations,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-127,2018-04-24,30-39,0-5 yrs,Bureau Of Transit Police,20-29,Black,Male,White,Male,18-20666,2018-04-24,4,2018,Special Operations,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-130,2018-04-26,20-29,0-5 yrs,City Of Jennings Precinct,20-29,Black,Male,White,Male,18-21105,2018-04-26,4,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-129,2018-05-01,20-29,0-5 yrs,Bureau Of Transit Police,20-29,Not Specified,Male,White,Male,18-22028,2018-05-01,5,2018,Special Operations,Minor Injury,Yes,1,0,0,0,0,0,0,0,Minor,Physical Restraint
UOF18-147,2018-05-09,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-23456,2018-05-09,5,2018,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-145,2018-05-10,30-39,0-5 yrs,Canine Unit,20-29,Black,Male,White,Male,18-23513,2018-05-10,5,2018,Special Operations,K-9 bite wound,Yes,0,0,1,0,0,0,1,0,No injuries noted or visible,Canine
UOF18-173,2018-05-13,30-39,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-24125,2018-05-13,5,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-173,2018-05-13,30-39,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-24125,2018-05-13,5,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-173,2018-05-13,20-29,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-24125,2018-05-13,5,2018,Patrol,No injuries noted or visible,No,1,0,1,0,0,0,1,0,No injuries noted or visible,Pepper Spray
UOF18-173,2018-05-13,20-29,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-24125,2018-05-13,5,2018,Patrol,No injuries noted or visible,No,1,0,1,0,0,0,1,0,No injuries noted or visible,Taser
UOF18-173,2018-05-13,20-29,0-5 yrs,South County Precinct,20-29,Black,Male,White,Male,18-24125,2018-05-13,5,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-148,2018-05-15,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Male,18-24820,2018-05-15,5,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-148,2018-05-15,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,White,Female,18-24820,2018-05-15,5,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-149,2018-05-16,20-29,0-5 yrs,North County Precinct,20-29,Black,Male,Two Or More,Male,18-24851,2018-05-16,5,2018,Patrol,Minor Injury,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-140,2018-05-17,20-29,0-5 yrs,City Of Jennings Precinct,20-29,Black,Male,White,Male,18-25310,2018-05-17,5,2018,Patrol,No injuries noted or visible,No,1,1,1,0,1,0,0,0,Not Specified,Taser
UOF18-140,2018-05-17,20-29,0-5 yrs,City Of Jennings Precinct,20-29,Black,Male,White,Male,18-25310,2018-05-17,5,2018,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,0,0,Not Specified,Taser
UOF18-138,2018-05-18,30-39,0-5 yrs,City Of Jennings Precinct,20-29,Black,Male,White,Male,18-25374,2018-05-18,5,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-150,2018-05-20,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Female,White,Male,18-25881,2018-05-21,5,2018,Patrol,Minor Injury,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-142,2018-05-28,30-39,0-5 yrs,Central County Precinct,20-29,Black,Female,White,Female,18-27299,2018-05-28,5,2018,Patrol,Minor Injury,Yes,1,0,1,0,0,0,0,0,Minor,Physical Restraint
UOF18-154,2018-06-05,30-39,0-5 yrs,North County Precinct,20-29,Black,Female,Asian,Female,18-28825,2018-06-08,6,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,1,0,0,0,Minor,Physical Restraint
UOF18-176,2018-06-12,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Female,White,Male,18-29896,2018-06-12,6,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,1,0,No injuries noted or visible,Physical (Striking)
UOF18-176,2018-06-12,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Female,White,Male,18-29896,2018-06-12,6,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,1,0,No injuries noted or visible,Other
UOF18-183,2018-06-12,20-29,0-5 yrs,Affton Southwest Precinct,20-29,White,Male,White,Male,18-29896,2018-06-12,6,2018,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,0,0,1,No injuries noted or visible,Other
