_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
800,2020-0315,Non Employee,Closed,11/18/2020,11/18/2020,No Allegation,,,
801,2020-0316,Non Employee,Closed,11/18/2020,1/4/2021,No Allegation,,,
802,2020-0317,Milwaukee Police Department,Closed,11/18/2020,1/22/2021,"Competence, 1.00","Respect, 5.00",,
803,2020-0318,Milwaukee Police Department,Closed,11/18/2020,2/12/2021,"Respect, 5.00",,,
804,2020-0319,Milwaukee Police Department,Closed,11/19/2020,2/11/2021,"Integrity, 3.06",,,
805,2020-0320,Milwaukee Police Department,Closed,11/23/2020,1/28/2021,"Competence, 1.04",,,
806,2020-0321,Non Employee,Closed,11/23/2020,12/1/2020,No Allegation,,,
807,2020-0322,Milwaukee Police Department,Closed,11/5/2020,3/16/2021,"Competence, 1.04",Unjustified Traffic Stop,,
808,2020-0323,Non Employee,Closed,11/23/2020,12/2/2020,No Allegation,,,
809,2020-0324,Milwaukee Police Department,Closed,11/24/2020,3/25/2021,"Competence, 1.04",,,
810,2020-0325,Milwaukee Police Department,Closed,11/24/2020,2/26/2021,"Competence, 1.04",,,
811,2020-0326,Non Employee,Closed,10/30/2020,12/1/2020,No Allegation,,,
812,2020-0327,Non Employee,Closed,11/17/2020,12/1/2020,No Allegation,,,
813,2020-0328,Non Employee,Closed,11/20/2020,12/1/2020,No Allegation,,,
814,2020-0329,Non Employee,Closed,11/5/2020,12/1/2020,No Allegation,,,
815,2020-0330,Non Employee,Closed,10/19/2020,12/1/2020,No Allegation,,,
816,2020-0331,Milwaukee Police Department,Closed,11/30/2020,3/1/2021,"Respect, 5.01",,,
817,2020-0332,Milwaukee Police Department,Closed,12/2/2020,2/11/2021,"Competence, 1.04",,,
818,2020-0333,Milwaukee Police Department,Closed,12/2/2020,1/29/2021,"Integrity, 3.00",,,
819,2020-0334,Non Employee,Closed,12/3/2020,12/4/2020,No Allegation,,,
820,2020-0335,Non Employee,Closed,12/3/2020,12/4/2020,No Allegation,,,
821,2020-0336,Milwaukee Police Department,Closed,12/7/2020,2/11/2021,"Competence, 1.02",,,
822,2020-0337,Non Employee,Closed,12/7/2020,1/29/2021,No Allegation,,,
823,2020-0338,Milwaukee Police Department,Closed,12/9/2020,11/17/2021,"Restraint, 6.01 - Failure to exercise restraint in proportion",,,
824,2020-0339,Milwaukee Police Department,Closed,12/9/2020,3/31/2021,"Competence, 1.04",,,
825,2020-0340,Milwaukee Police Department,Closed,12/11/2020,3/16/2021,"Integrity, 3.04",,,
826,2020-0341,Milwaukee Police Department,Closed,12/5/2020,2/10/2021,"Competence, 1.10",,,
827,2020-0342,Milwaukee Police Department,Closed,12/16/2020,1/20/2021,"Integrity, 3.05",,,
828,2020-0343,Milwaukee Police Department,Closed,12/17/2020,12/17/2020,"Competence, 1.05","Competence, 1.03",,
829,2020-0344,Milwaukee Police Department,Closed,12/21/2020,2/26/2021,"Competence, 1.04","Respect, 5.01",,
2021 - Q1,,,,,,,,,
830,2021-0001,Non-Employee,Closed,1/5/2021,1/5/2021,No Allegation,,,
831,2021-0002,Non-Employee,Closed,1/5/2021,1/5/2021,No Allegation,,,
832,2021-0003,Milwaukee Fire Department,Closed,1/7/2021,1/7/2021,Department Procedures,,,
833,2021-0004,Non-Employee,Closed,1/8/2021,1/8/2021,No Allegation,,,
834,2021-0005,Milwaukee Police Department,Closed,1/20/2021,1/20/2021,Department Services,,,
835,2021-0006,Milwaukee Police Department,Closed,1/21/2021,2/2/2021,Department Procedures,,,
836,2021-0007,Milwaukee Police Department,Closed,1/21/2021,1/21/2021,No Allegation,,,
837,2021-0008,Milwaukee Police Department,Closed,1/27/2021,1/27/2021,No Allegation,,,
838,2021-0009,Milwaukee Police Department,Closed,1/28/2021,1/28/2021,No Allegation,,,
839,2021-0010,Milwaukee Police Department,Closed,1/13/2021,1/13/2021,Department Services,,,
840,2021-0011,Milwaukee Police Department,Closed,1/13/2021,1/13/2021,No Allegation,,,
841,2021-0012,Milwaukee Police Department,Closed,1/28/2021,3/18/2021,Department Procedures,,,
842,2021-0013,Milwaukee Fire Department,Closed,1/29/2021,2/1/2021,Department Services,,,
843,2021-0014,Milwaukee Police Department,Closed,1/27/2021,2/2/2021,No Allegation,,,
844,2021-0015,Milwaukee Police Department,Closed,2/8/2021,2/8/2021,Department Procedures,,,
845,2021-0016,Milwaukee Police Department,Closed,2/12/2021,2/19/2021,No Allegation,,,
846,2021-0017,Milwaukee Police Department,Closed,3/1/2021,3/15/2021,Department Procedures,,,
847,2021-0018,Milwaukee Police Department,Closed,3/10/2021,3/16/2021,Department Procedures,,,
848,2021-0019,Milwaukee Police Department,Closed,3/25/2021,3/31/2021,Department Services,,,
849,2021-0020,Milwaukee Fire Department,Closed,3/31/2021,4/9/2021,Discourtesy,,,
850,2021-0021,Milwaukee Police Department,Closed,1/11/2021,6/16/2022,"Competence, 1.04 - FT fully investigate","Integrity, 3.05","Restraint, 6.01",
851,2021-0022,Milwaukee Police Department,Closed,1/13/2021,3/16/2021,"Competence, 1.04","Respect, 5.01",,
852,2021-0023,Milwaukee Police Department,Closed,1/13/2021,5/11/2021,"Respect, 5.01",,,
853,2021-0024,Milwaukee Police Department,Closed,1/15/2021,3/30/2021,"Competence, 1.04","Competence, 1.05",,
854,2021-0025,Milwaukee Police Department,Closed,1/18/2021,3/25/2021,"Respect, 5.01",,,
855,2021-0026,Milwaukee Police Department,Closed,1/20/2021,11/25/2021,"Competence, 1.05 - Arrest Authority","Restraint, 6.01 - Excessive Use of force -  Bodily","Competence, 1.05 - SOP Use of Force",
856,2021-0027,Milwaukee Police Department,Closed,1/19/2021,5/4/2021,"Competence, 1.04",,,
857,2021-0028,Milwaukee Police Department,Closed,1/25/2021,3/18/2021,"Integrity, 3.03",,,Unjustified Search
858,2021-0029,Milwaukee Police Department,Closed,1/16/2021,5/3/2021,"Respect, 5.01",,,
859,2021-0030,Milwaukee Police Department,Closed,1/28/2021,2/16/2021,"Integrity, 3.03",,,
860,2021-0031,Milwaukee Police Department,Closed,1/27/2021,5/21/2021,"Restraint, 6.00",,,
861,2021-0032,Milwaukee Police Department,Closed,2/2/2021,4/9/2021,"Restraint, 6.01",,,
862,2021-0033,Milwaukee Police Department,Closed,2/2/2021,4/14/2021,"Restraint, 6.01",,,
863,2021-0034,Milwaukee Police Department,Closed,2/4/2021,6/7/2021,"Respect, 5.01",,,
864,2021-0035,Milwaukee Police Department,Closed,2/8/2021,6/15/2021,"Integrity, 3.05",,,
865,2021-0036,Milwaukee Police Department,Closed,2/8/2021,3/3/2021,"Respect, 5.01","Competence, 1.04",,
866,2021-0037,Milwaukee Police Department,Closed,2/2/2021,5/4/2021,"Respect, 5.02",,,
867,2021-0038,Non-Employee,Closed,2/11/2021,2/11/2021,No Allegation,,,
868,2021-0039,Milwaukee Police Department,Closed,2/16/2021,2/25/2021,"Competence, 1.03","Respect, 5.01",,
869,2021-0040,Milwaukee Police Department,Closed,2/17/2021,3/1/2021,"Respect, 5.01",,,
870,2021-0041,Milwaukee Police Department,Closed,2/18/2021,5/4/2021,"Restraint, 6.00",,,
871,2021-0042,Milwaukee Police Department,Closed,2/19/2021,2/25/2021,"Respect, 5.01",,,Unjustified Search
872,2021-0043,Milwaukee Police Department,Closed,2/22/2021,4/29/2021,"Competence, 1.05",,,
873,2021-0044,Milwaukee Police Department,Closed,2/22/2021,9/23/2021,"Integrity, 3.03",,,
874,2021-0045,Milwaukee Police Department,Closed,2/24/2021,4/9/2021,"Integrity, 3.03","Competence, 1.05",,
875,2021-0046,Milwaukee Police Department,Closed,2/24/2021,3/24/2021,"Competence, 1.05",,,
876,2021-0047,Milwaukee Police Department,Closed,2/24/2021,12/2/2021,"Integrity, 3.00",,,
877,2021-0048,Milwaukee Police Department,Closed,2/26/2021,4/22/2021,"Integrity, 3.04",,,
878,2021-0049,Milwaukee Police Department,Closed,3/2/2021,3/5/2021,"Competence, 1.05",,,
879,2021-0050,Milwaukee Police Department,Closed,3/4/2021,9/7/2021,"Integrity, 3.11",,,Unjustified Search
880,2021-0051,Milwaukee Police Department,Closed,3/4/2021,5/28/2021,"Integrity, 3.05",,,
881,2021-0052,Milwaukee Police Department,Closed,2/24/2021,6/7/2021,"Respect, 5.01",,,
882,2021-0053,Milwaukee Police Department,Closed,3/11/2021,4/22/2021,"Competence, 1.04",,,
883,2021-0054,Milwaukee Police Department,Closed,2/5/2021,3/16/2021,"Integrity, 3.05",,,
884,2021-0055,Milwaukee Police Department,Closed,3/15/2021,9/24/2021,"Respect, 5.01",,,
885,2021-0056,Milwaukee Police Department,Closed,3/17/2021,6/22/2021,"Integrity, 3.11",,,
886,2021-0057,Milwaukee Police Department,Closed,3/14/2021,3/31/2021,"Restraint, 6.01",,,
887,2021-0058,Milwaukee Police Department,Closed,3/23/2021,10/18/2021,"Integrity, 3.05 - FT State Theft",,,
888,2021-0059,Milwaukee Police Department,Closed,3/29/2021,5/10/2021,"Competence, 1.05",,,
889,2021-0060,Milwaukee Police Department,Closed,3/30/2021,10/5/2021,"Respect, 5.01",,,
890,2021-0061,Milwaukee Police Department,Closed,3/23/2021,4/1/2021,"Competence, 1.04",,,
2021 - Q2,,,,,,,,,
891,2021-0062,Non-Employee,Closed,4/1/2021,4/5/2021,No Allegation,,,
892,2021-0063,Milwaukee Police Department,Closed,4/5/2021,8/23/2021,Department Procedures,Department Services,Discourtesy ,
893,2021-0064,Milwaukee Police Department,Closed,4/5/2021,4/9/2021,Department Services,,,
894,2021-0065,Milwaukee Police Department,Closed,4/5/2021,4/23/2021,Use of Force,,,
895,2021-0066,Milwaukee Police Department,Closed,4/6/2021,6/18/2021,Department Procedures,,,
896,2021-0067,Milwaukee Police Department,Closed,4/9/2021,4/9/2021,Department Procedures,,,
897,2021-0068,Non-Employee,Closed,4/14/2021,5/11/2021,No Allegation,,,
898,2021-0069,Non-Employee,Closed,4/13/2021,4/20/2021,No Allegation,,,
899,2021-0070,Milwaukee Police Department,Closed,4/26/2021,5/21/2021,Department Procedures,,,
900,2021-0071,Milwaukee Police Department,Closed,5/3/2021,5/21/2021,Department Procedures,,,
901,2021-0072,Milwaukee Police Department,Closed,5/10/2021,5/21/2021,Department Services,,,
902,2021-0073,Milwaukee Police Department,Closed,5/12/2021,5/12/2021,Discourtesy,,,
903,2021-0074,Milwaukee Police Department,Closed,5/27/2021,6/18/2021,Department Services,,,
904,2021-0075,Milwaukee Police Department,Closed,5/21/2021,6/18/2021,Use of Force,,,
905,2021-0076,Milwaukee Police Department,Closed,5/21/2021,8/24/2021,Department Procedures,,,
906,2021-0077,Non-Employee,Closed,5/26/2021,5/27/2021,No Allegation,,,
907,2021-0078,Non-Employee,Closed,5/28/2021,5/28/2021,No Allegation,,,
908,2021-0079,Milwaukee Police Department,Closed,6/7/2021,7/9/2021,Department Services,,,
909,2021-0080,Milwaukee Police Department,Closed,6/7/2021,6/11/2021,Department Services,,,
910,2021-0081,Milwaukee Police Department,Closed,6/1/2021,7/2/2021,Department Services,,,
911,2021-0082,Milwaukee Police Department,Closed,6/14/2021,8/12/2021,Department Services,,,
912,2021-0083,Milwaukee Police Department,Closed,6/17/2021,6/18/2021,Department Procedures,,,
913,2021-0084,Milwaukee Police Department,Closed,6/14/2021,6/14/2021,Use of Force,,,
914,2021-0085,Milwaukee Police Department,Closed,6/18/2021,6/18/2021,Department Services,,,
915,2021-0086,Milwaukee Police Department,Closed,6/17/2021,8/2/2021,Use of Force,,,
916,2021-0087,Milwaukee Police Department,Closed,6/21/2021,9/3/2021,Department Services,,,
917,2021-0088,Milwaukee Police Department,Closed,6/22/2021,6/22/2021,Discourtesy,,,
918,2021-0089,Milwaukee Fire Department,Closed,6/28/2021,11/17/2021,Department Procedures,,,
919,2021-0090,Milwaukee Fire Department,Closed,5/6/2021,5/6/2021,Discourtesy,,,
920,2021-0091,Milwaukee Police Department,Closed,6/17/2021,6/18/2021,Department Services,,,
921,2021-0092,Milwaukee Police Department,Closed,6/29/2021,8/6/2021,Department Services,,,
922,2021-0093,Milwaukee Police Department,Closed,4/5/2021,6/28/2021,"Competence, 1.04",,,
923,2021-0094,Milwaukee Police Department,Closed,4/12/2021,2/17/2022,"Respect, 5.01 - FT be civil & courteous",,,
924,2021-0095,Milwaukee Police Department,Closed,4/13/2021,6/23/2021,"Respect, 5.01",,,
925,2021-0096,Milwaukee Police Department,Closed,4/14/2021,11/3/2021,"Integrity, 3.05 - FT State Theft",,,
926,2021-0097,Milwaukee Police Department,Closed,4/19/2021,6/28/2021,"Competence, 1.04",,,
927,2021-0098,Milwaukee Police Department,Closed,4/19/2021,6/4/2021,"Respect, 5.01","Competence, 1.04",,
928,2021-0099,Milwaukee Police Department,Closed,5/27/2021,6/12/2021,"Respect, 5.01",,,
929,2021-0100,Milwaukee Police Department,Closed,4/29/2021,6/8/2021,"Competence, 1.04",,,
930,2021-0101,Milwaukee Police Department,Closed,4/29/2021,10/15/2021,"Competence, 1.04 - FT fully investigate",,,
931,2021-0102,Milwaukee Police Department,Closed,4/30/2021,9/14/2021,"Restraint, 6.01",,,
932,2021-0103,Milwaukee Police Department,Closed,4/28/2021,5/13/2021,"Respect, 5.01",,,
933,2021-0104,Milwaukee Police Department,Closed,5/3/2021,6/30/2021,"Competence, 1.00",,,
934,2021-0105,Milwaukee Police Department,Closed,6/4/2021,6/15/2021,"Competence, 1.04",,,
935,2021-0106,Milwaukee Police Department,Closed,5/5/2021,10/20/2021,"Competence, 1.05 - SOP Face Coverings","Competence, 1.05 - SOP Face Coverings","Respect, 5.01 - FT be civil & courteous",
936,2021-0107,Milwaukee Police Department,Closed,5/5/2021,6/30/2021,"Competence, 1.05",,,
937,2021-0108,Milwaukee Police Department,Closed,4/29/2021,9/9/2021,"Competence, 1.04",,,
938,2021-0109,Milwaukee Police Department,Closed,5/11/2021,7/13/2021,"Competence, 1.04",,,
939,2021-0110,Milwaukee Police Department,Closed,5/14/2021,9/27/2021,"Integrity, 3.05",,,
940,2021-0111,Milwaukee Police Department,Closed,5/17/2021,9/23/2021,"Integrity, 3.05",,,
941,2021-0112,Milwaukee Police Department,Closed,4/22/2021,10/18/2021,"Integrity, 3.03 - Improper stop/detention of a citizen","Competence, 1.05 - SOP BWC","Competence, 1.05 (x 3)",
942,2021-0113,Milwaukee Police Department,Closed,5/19/2021,9/21/2021,"Respect, 5.01",,,
943,2021-0114,Milwaukee Police Department,Closed,5/26/2021,8/19/2021,"Integrity, 3.03",,,
944,2021-0115,Milwaukee Police Department,Closed,5/26/2021,9/30/2021,"Respect, 5.01 - FT be civil & courteous",,,
945,2021-0116,Milwaukee Police Department,Closed,5/27/2021,7/29/2022,"Integrity, 3.05 - FT State 4th Degree Sexual Assault",,,
946,2021-0117,Milwaukee Police Department,Closed,5/26/2021,10/4/2021,"Competence, 1.04 - FT fully investigate",,,
947,2021-0118,Milwaukee Police Department,Closed,6/7/2021,7/21/2021,"Competence, 1.04",,,
948,2021-0119,Milwaukee Police Department,Closed,6/7/2021,7/21/2021,"Competence, 1.05",,,
949,2021-0120,Milwaukee Police Department,Closed,6/9/2021,10/14/2022,"Restraint, 6.01 - excessive use of force - Bodily","Respect, 5.01 - FT treat the public with courtesy and professionalism",Procedures/Internal-Other (085.20(C)(1)Recording the facts of a field interview in the TriTech RMS system),
950,2021-0121,Milwaukee Police Department,Closed,6/11/2021,2/7/2022,"Competence, 1.05 - SOP Domestic Violence",,,
951,2021-0122,Milwaukee Police Department,Closed,6/10/2021,8/18/2021,"Competence, 1.04",,,
952,2021-0123,Milwaukee Police Department,Closed,6/15/2021,11/26/2021,"Competence, 1.05 - SOP Use of Force","Restraint, 6.01 - Excessive Use of force -  Bodily",,
953,2021-0124,Milwaukee Police Department,Closed,6/16/2021,8/20/2021,"Competence, 1.04",,,Unjustified Traffic Stop
954,2021-0125,Milwaukee Police Department,Closed,6/18/2021,9/22/2021,"Competence, 1.04","Respect, 5.01",,
955,2021-0126,Milwaukee Police Department,Closed,5/17/2021,9/21/2021,"Competence, 1.04","Integrity, 3.03",Unjustified Search,Unjustified Traffic Stop
956,2021-0127,Milwaukee Police Department,Closed,6/11/2021,2/10/2022,"Restraint, 6.01 - excessive use of force - Bodily",,,
957,2021-0128,Milwaukee Police Department,Closed,6/24/2021,11/2/2021,"Respect, 5.01 - FT treat the public with courtesy and professionalism",,,
958,2021-0129,Milwaukee Police Department,Closed,6/25/2021,2/4/2022,"Competence, 1.04 - FT fully investigate","Competence, 1.05 - SOP BWC","Competence, 1.05 - Vehicle crashes",
959,2021-0130,Milwaukee Police Department,Closed,6/25/2021,7/21/2021,"Integrity, 3.03",,,
960,2021-0131,Milwaukee Police Department,Closed,6/28/2021,11/11/2021,"Competence, 1.04 - FT fully investigate",,,
961,2021-0132,Milwaukee Police Department,Closed,6/29/2021,9/7/2021,"Competence, 1.05",,,
962,2021-0133,Milwaukee Police Department,Closed,6/29/2021,7/7/2021,"Integrity, 3.01",,,
963,2021-0134,Milwaukee Police Department,Closed,6/29/2021,10/20/2021,"Competence, 1.04","Competence, 1.05",,
964,2021-0135,Milwaukee Police Department,Closed,6/30/2021,4/21/2022,"Competence, 1.04","Respect, 1.05",Unjustified Traffic Stop,DUP OF ID NO 1044 (SEE BELOW)
2021 - Q3,,,,,,,,,
965,2021-0136,Milwaukee Police Department,Closed,7/6/2021,8/6/2021,Department Services ,,,
966,2021-0137,Milwaukee Police Department,Closed,7/1/2021,8/10/2021,Department Services,Department Procedures,,
967,2021-0138,Milwaukee Police Department,Closed,7/6/2021,7/9/2021,Department Procedures,,,
968,2021-0139,Milwaukee Police Department,Closed,7/6/2021,8/27/2021,Department Procedures,,,
969,2021-0140,Milwaukee Police Department,Closed,7/8/2021,1/10/2022,Department Services,Department Procedures,,
970,2021-0141,Non-Employee,Closed,7/12/2021,7/14/2021,No Allegation,,,
971,2021-0142,Non-Employee,Closed,7/15/2021,7/15/2021,No Allegation,,,
972,2021-0143,Milwaukee Police Department,Closed,7/20/2021,8/30/2021,Discourtesy,,,
973,2021-0144,Non-Employee,Closed,8/3/2021,8/6/2021,No Allegation,,,
974,2021-0145,Milwaukee Police Department,Closed,8/3/2021,8/24/2021,Department Services,,,
975,2021-0146,Milwaukee Police Department,Closed,8/3/2021,8/24/2021,Department Services,,,
976,2021-0147,Milwaukee Police Department,Closed,8/6/2021,8/25/2021,Disparate Treatment ,,,Race-Based Field Interview
977,2021-0148,Milwaukee Police Department,Closed,8/9/2021,10/21/2021,Department Services,Department Procedures,,
978,2021-0149,Milwaukee Police Department,Closed,8/12/2021,8/27/2021,Department Procedures,,,
979,2021-0150,Milwaukee Police Department,Closed,8/6/2021,8/6/2021,Discourtesy,,,
980,2021-0151,Milwaukee Police Department,Closed,8/6/2021,8/6/2021,Department Services,,,
981,2021-0152,Non-Employee,Closed,8/12/2021,8/18/2021,No Allegation,,,
982,2021-0153,Milwaukee Police Department,Closed,8/13/2021,8/13/2021,No Allegation,,,
983,2021-0154,Non-Employee,Closed,8/11/2021,8/20/2021,No Allegation,,,
984,2021-0155,Milwaukee Police Department,Closed,8/9/2021,8/9/2021,Department Procedures,,,
985,2021-0156,Milwaukee Police Department,Closed,8/5/2021,8/20/2021,No Allegation,,,
986,2021-0157,Non-Employee,Closed,8/23/2021,9/15/2021,No Allegation,,,
987,2021-0158,Non-Employee,Closed,8/26/2021,8/27/2021,No Allegation,,,
988,2021-0159,Milwaukee Police Department,Closed,8/30/2021,9/10/2021,Department Procedures,,,
989,2021-0160,Milwaukee Police Department,Closed,9/9/2021,10/4/2021,Department Procedures,Use of Force,,
990,2021-0161,Milwaukee Police Department,Closed,9/9/2021,9/13/2021,Discourtesy,,,
991,2021-0162,Milwaukee Fire Department,Closed,9/13/2021,9/13/2021,Discourtesy,,,
992,2021-0163,Milwaukee Police Department,Closed,9/14/2021,9/16/2021,Department Services,,,
993,2021-0164,Milwaukee Police Department,Closed,9/16/2021,10/25/2021,Discourtesy,,,
994,2021-0165,Milwaukee Police Department,Closed,9/23/2021,11/19/2021,Department Procedures,Discourtesy,Department Services,
995,2021-0166,Milwaukee Police Department,Closed,8/12/2021,11/16/2021,"Respect, 5.01","Competence, 1.04",,
996,2021-0167,Milwaukee Police Department,Closed,7/1/2021,10/20/2021,"Respect, 5.01","Competence, 1.05",,
997,2021-0168,Non-Employee,Closed,7/1/2021,7/6/2021,No Allegation,,,
998,2021-0169,Milwaukee Police Department,Closed,7/2/2021,9/2/2021,"Restraint, 6.01",,,
999,2021-0170,Milwaukee Police Department,Closed,7/1/2021,10/12/2021,"Competence, 1.03","Competence, 1.05",,
1000,2021-0171,Milwaukee Police Department,Closed,7/8/2021,7/20/2022,"Respect, 5.01","Restraint, 6.01",,
1001,2021-0172,Milwaukee Police Department,Closed,7/13/2021,2/4/2022,"Integrity, 3.05","Competence, 1.05",,
1002,2021-0173,Milwaukee Police Department,Closed,7/22/2021,2/25/2022,"Restraint, 6.01 - Excessive use of force - Bodily",,,
1003,2021-0174,Milwaukee Police Department,Closed,7/23/2021,8/18/2021,"Competence, 1.04",,,
1004,2021-0175,Milwaukee Police Department,Closed,7/23/2021,12/6/2021,"Integrity, 3.03 - Improper stop/detention of a citizen",,,
1005,2021-0176,Milwaukee Police Department,Closed,7/22/2021,2/28/2022,"Competence, 1.04",,,
1006,2021-0177,Milwaukee Police Department,Closed,7/28/2021,6/30/2022,"Restraint, 6.01",,,
1007,2021-0178,Milwaukee Police Department,Closed,7/28/2021,11/3/2021,"Competence, 1.04","Integrity, 3.03",,
1008,2021-0179,Milwaukee Police Department,Closed,7/26/2021,12/22/2021,"Integrity, 3.06","Respect, 5.01",,
1009,2021-0180,Milwaukee Police Department,Closed,7/29/2021,9/1/2021,"Competence, 1.04",,,
1010,2021-0181,Milwaukee Police Department,Closed,8/2/2021,6/29/2022,"Competence, 1.05",,,
1011,2021-0182,Milwaukee Police Department,Closed,8/5/2021,8/23/2021,"Integrity, 3.00",,,
1012,2021-0183,Milwaukee Police Department,Closed,8/9/2021,10/20/2021,"Competence, 1.05",,,
1013,2021-0184,Milwaukee Police Department,Closed,8/9/2021,8/18/2021,"Integrity, 3.10",,,
1014,2021-0185,Milwaukee Police Department,Closed,8/10/2021,2/9/2022,"Integrity, 3.06",,,
1015,2021-0186,Milwaukee Police Department,Closed,8/9/2021,9/7/2021,No Allegation,,,
1016,2021-0187,Milwaukee Police Department,Closed,8/16/2021,3/9/2022,"Respect, 5.01",,,
1017,2021-0188,Milwaukee Police Department,Closed,8/18/2021,10/8/2021,"Competence, 1.05",,,
1018,2021-0189,Milwaukee Police Department,Closed,8/18/2021,10/5/2021,"Competence, 1.04",,,Unjustified Traffic Stop
1019,2021-0190,Milwaukee Police Department,Closed,8/20/2021,2/14/2022,"Integrity, 3.11",,,
1020,2021-0191,Milwaukee Police Department,Closed,8/21/2021,10/14/2021,"Competence, 1.04",,,
1021,2021-0192,Milwaukee Police Department,Closed,8/24/2021,11/1/2021,"Competence, 1.04",,,
1022,2021-0193,Milwaukee Police Department,Closed,8/24/2021,10/18/2021,"Integrity, 3.05",,,
1023,2021-0194,Milwaukee Police Department,Closed,8/27/2021,10/29/2021,"Competence, 1.04",,,
1024,2021-0195,Milwaukee Police Department,Closed,8/30/2021,11/30/2021,"Competence, 1.04",,,
1025,2021-0196,Milwaukee Police Department,Closed,8/29/2021,9/14/2021,"Restraint, 6.01",,,
1026,2021-0197,Milwaukee Police Department,Closed,9/3/2021,10/4/2021,"Integrity, 3.03","Integrity, 3.11",,UNJUSTIFIED SEARCH - KW
1027,2021-0198,Milwaukee Police Department,Closed,9/3/2021,9/29/2021,"Integrity, 3.11",,,
1028,2021-0199,Milwaukee Police Department,Closed,8/28/2021,11/16/2021,"Competence, 1.04","Respect, 5.01",,
1029,2021-0200,Milwaukee Police Department,Closed,9/7/2021,11/1/2021,"Integrity, 3.10",,,
1030,2021-0201,Milwaukee Police Department,Closed,9/8/2021,5/25/2022,"Competence, 1.04",,,
1031,2021-0202,Milwaukee Police Department,Closed,9/10/2021,11/15/2022,"Restraint, 6.01","Integrity, 3.03","Competence, 1.05 - SOP Bodyworn Camera",
1032,2021-0203,Milwaukee Police Department,Closed,9/15/2021,3/16/2022,"Respect, 5.01","Competence, 1.05",,
1033,2021-0204,Milwaukee Police Department,Closed,9/20/2021,7/19/2022,"Integrity, 3.05",,,
1034,2021-0205,Milwaukee Police Department,Closed,9/20/2021,2/25/2022,"Competence, 1.05","Restraint, 6.01",,
1035,2021-0206,Milwaukee Police Department,Closed,9/21/2021,11/9/2023,"Competence, 1.04",,,
1036,2021-0207,Milwaukee Police Department,Closed,9/22/2021,2/2/2022,"Competence, 1.04","Integrity, 3.03",,
1037,2021-0208,Milwaukee Police Department,Closed,9/22/2021,2/8/2022,"Competence, 1.05 - SOP Citation Procedures","Leadership, 4.04 - FT accomplish mission of the department",,
1038,2021-0209,Milwaukee Police Department,Closed,9/20/2021,11/5/2021,"Competence, 1.04",,,
1039,2021-0210,Milwaukee Police Department,Closed,9/23/2021,12/8/2021,"Restraint, 6.01",,,
1040,2021-0211,Milwaukee Police Department,Closed,9/24/2021,2/10/2022,"Integrity, 3.05","Competence, 1.05",,
1041,2021-0212,Milwaukee Police Department,Closed,9/26/2021,3/11/2022,"Competence, 1.05",,,
1042,2021-0213,Milwaukee Police Department,Closed,9/24/2021,3/15/2022,"Integrity, 3.11","Competence, 1.05",,
1043,2021-0214,Milwaukee Police Department,Closed,9/11/2021,3/9/2022,"Competence, 1.04","Competence, 1.05",,
1044,2021-0215,Milwaukee Police Department,Closed,6/30/2021,4/21/2022,"Competence, 1.04","Respect, 5.01",Unjustified Traffic Stop,DUP OF ID NO 964
2021 - Q4,,,,,,,,,
1045,2021-0216,Non-Employee,Closed,10/4/2021,10/5/2021,No Allegation,,,
1046,2021-0217,Milwaukee Police Department,Closed,10/11/2021,10/22/2021,No Allegation,,,
1047,2021-0218,Milwaukee Police Department,Closed,10/11/2021,2/25/2022,Use of Force,Department Procedures,,
1048,2021-0219,Milwaukee Police Department,Closed,10/12/2021,12/3/2021,Department Procedures,,,
1049,2021-0220,Milwaukee Police Department,Closed,10/14/2021,10/28/2021,Department Procedures,,,
1050,2021-0221,Milwaukee Fire Department,Closed,10/19/2021,10/26/2021,Department Services,,,
1051,2021-0222,Non-Employee,Closed,10/18/2021,10/18/2021,No Allegation,,,
1052,2021-0223,Milwaukee Police Department,Closed,10/19/2021,11/19/2021,No Allegation,,,
1053,2021-0224,Milwaukee Police Department,Closed,10/22/2021,10/28/2021,Department Services,,,
1054,2021-0225,Milwaukee Police Department,Closed,10/22/2021,11/16/2021,Department Services,,,
1055,2021-0226,Milwaukee Police Department,Closed,11/2/2021,11/24/2021,Department Services,,,
1056,2021-0227,Milwaukee Fire Department,Closed,11/4/2021,11/4/2021,No Allegation,,,
1057,2021-0228,Non-Employee,Closed,11/8/2021,11/8/2021,No Allegation,,,
1058,2021-0229,Milwaukee Police Department,Closed,11/17/2021,12/6/2021,Department Procedures,,,Unjustified Search
1059,2021-0230,Milwaukee Police Department,Closed,11/23/2021,12/7/2021,No Allegation,,,
1060,2021-0231,Milwaukee Police Department,Closed,11/30/2021,1/28/2022,Department Procedures,,,
1061,2021-0232,Milwaukee Fire Department,Closed,12/2/2021,12/2/2021,No Allegation,,,
1062,2021-0233,Milwaukee Police Department,Closed,12/8/2021,1/5/2022,Department Services,,,
1063,2021-0234,Non-Employee,Closed,11/1/2021,11/23/2021,No Allegation,,,
1064,2021-0235,Milwaukee Police Department,Closed,12/22/2021,1/7/2022,Department Services,,,
1065,2021-0236,Milwaukee Police Department,Closed,10/5/2021,12/22/2021,"Competence, 1.05 - SOP Social Networking Sites",,,
